Zkoušející,Rok,Obor,Oborová,Předmět,Otázka,,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"NFS - popsat princip fungování, vztah server-klient, démony, srovnání NFS v3 vs NFS v4 ",,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"ZFS - filosofie, výhody, nevýhody, popsat klon a snapshot ",,
Muzikář Zdeněk,LS 2015,IT,Ano,ADU,"syslog, výhody, nevýhody, srovnání s jinými možnostmi logování ",,
Žďárek Jan,LS 2015,IT,Ano,ADU,Resource limity v Unixových operačných systémech. ,,
Muzikář Zdeněk,LS 2017,,Ano,ADU,"NFS, popis, NFSv3 vs NFSv4 (oborová) ",,
Muzikář Zdeněk,LS 2017,,Ano,ADU,"Volume manager a virtuálny disk. RAID 0, RAID 1, RAID 4, RAID 5, RAID 6. Implementácia RAID v ZFS, výhody a nevýhody. ",,
Jiřina Scholtzová,ZS 2020,"SI
","Ne
",AG1,"Základní pojmy teorie grafů. Grafové algoritmy: procházení grafu do šířky a do hloubky, určení souvislých komponent, topologické uspořádání, vzdálenosti v grafech, konstrukce minimální kostry a nejkratších cest v ohodnoceném grafu. 
Kostra, minimální kostra, algoritmy pro její hledání",,
Suchý Ondřej,LS 2022,ZI,Ne,AG1,"Řazení v lineárním čase (jen tato část z celé otázky) - popsat, kdy lze použít. Podotázka: jak je možné, že jsou v lineárním čase při sčítání délek řetězců",,
Knop,LS 2021,TI,Ano,AG2,"Rovinné grafy a barevnost grafů: Eulerova formule. Kuratowského věta. Barevnost grafu, barevnost rovinných grafů.",,
Valla,LS 2021,TI,Ano,AG2,"Aproximační algoritmus, TSP",,
Michal Štěpanovský,LS 2022,BIT,Ano,APS,"Virtualizace paměti stránkováním, funkce MMU a TLB.",,
Štěpanovský,LS 2021,BIT,Ano,APS,Principy protokolů pro zajištění paměťové koherence datových skrytých pamětí vícejádrového či víceprocesorového systému se sdílenou paměťovou sběrnicí.,,
Štěpanovský,LS 2021,BIT,Ano,APS,Virtualizace hlavní paměti stránkováním a její HW podpora. Funkce MMU (Memory Management Unit) a překlad adres pomocí TLB (Translation Lookaside Buffer).,,
Štěpanovský Michal,LS 2019,BIT,Ano,APS,Koherence a konzistence paměti,,
Štěpanovský Michal,LS 2019,BIT,Ano,APS,Výkonnostní parametry paměťového systému se skrytými pamětmi (cache). Skryté paměti více úrovní.  HW podpora virtuální paměti.,,
Štěpanovský Michal,LS 2019,BIT,Ano,APS,"Proudové zpracování instrukcí. Rozdělení procesoru do stupňů, řízení toku instrukcí mezi stupni, hazardy, jejich klasifikace a způsoby odstranění.",,
Štěpanovský Michal,LS 2020,BIT,Ano,APS,Principy protokolů pro zajištění paměťové koherence datových skrytých pamětí vícejádrového či víceprocesorového systému se sdílenou paměťovou sběrnicí.,,
Buček Jiří,LS 2016,IT,Ano,APS,"Proudové zpracování instrukcí. Rozdělení procesoru do stupňů, řízení toku instrukcí mezi stupni, hazardy, jejich klasifikace a způsoby odstranění. - Popsat instrukcni cyklus a vse o hazardech. ",,
Buček Jiří,LS 2016,IT,Ano,APS,Výkonnostní rovnice systému se skrytým paměťovým subsystémem. ,,
Buček Jiří,LS 2016,IT,Ano,APS,2022,,
Kašpar Jiří,LS 2016,IT,Ano,APS,Výkonnostní parametry paměťového systému se skrytými pamětmi (cache). Skryté paměti více úrovní. HW podpora virtuální paměti. (Zaměření na HW podporu.) ,,
Lorenz Robert,LS 2016,IT,Ano,APS,Základní principy vektorových počítačů. ,,
Buček Jiří,ZS 2016,PI,Ano,APS,"Typy hazardů v pipeline a jejich řešení. Typy skoků v pipeline, predikce skoku. ",,
Štěpanovský Michal,ZS 2020,PI,Ano,APS,"Koherence a konzistence v systémech se sdílenou pamětí, atomické instrukce pro zajištění sekvenční konzistence",,
Vagner Ladislav,LS 2020,TI,Ano,APS,Virtualizace hlavní paměti stránkováním a její HW podpora. Funkce MMU (Memory Management Unit) a překlad adres pomocí TLB (Translation Lookaside Buffer).,,
Kašpar Jiří,LS 2017,,Ano,APS,Vysvetlite a popíšte funkciu inštrukcií Load-link/store-conditional a uvedte príklad realizácie na semafore ,,
Skrbek Miroslav,LS 2017,,Ano,APS,"Kvantitativní principy architektury počítačů (Amdahlův zákon, výkonnostní rovnice CPU), hodnocení výkonnosti počítačů. - cely okruh ",,
Tvrdík Pavel,ZS 2018,,Ano,APS,"Paralelní architektury se sdílenou pamětí, paměťová koherence a konzistence. Instrukční primitivy pro synchronizaci procesů. ",,
Kokeš,LS 2020,BIT,Ano,AVD,"Systémy souborů, síťové služby a bezpečnost (používané souborové systémy a jejich zabezpečení proti náhodným chybám a proti útočníkům). (zhruba tak nějak)",,
Buček Jiří,LS 2019,BIT,Ano,BEK,"Buffer overflow, typy, metody ochrany a jejich překonání. Přetečení na zásobníku",,
Buchovecká Simona,LS 2018,BIT,Ano,BEK,"Základní bezpečnostní principy. Modelování bezpečnostních rizik, metodiky STRIDE a DREAD.",,
Kokeš Josef,ZS 2019,BIT,Ano,BEK,"Přetečení bufferu, jeho druhy. Metody obrany, způsoby překonání obran. Zaměřte se na metody ochrany, způsoby jejich překonání a ukažte vjakých situacích jdou překonat       ",,
Josef Kokeš,LS 2022,BIT,Ne,BEZ,"Infrastruktura veřejného klíče, distribuce klíčů, digitální podpis. Certifikáty, certifikační autority. Kryptograficky bezpečné generátory náhodných čísel.",,
Kodýtek,LS 2021,BIT,Ano,BEZ,"Teorie informace (entropie, vzdálenost jednoznačnosti).",,
Kodýtek,LS 2021,BIT,Ano,BEZ,"PRNG, TRNG, rozdíly, vlastnosti, využitie",,
Kodýtek,LS 2021,BIT,Ano,BEZ,"Generátory náhodných čísel (PRNG, TRNG). Testy prvočíselnosti (alespoň dva)",,
Kodýtek Filip,LS 2020,BIT,Ano,BEZ,"TRNG, PRNG, rozdíly, vlastnosti, využití",,
Kokeš Josef,LS 2022,BIT,Ano ,BEZ,"Generátory náhodných čísel (PRNG, TRNG)",,
Buček Jiří,LS 2015,ISM,Ne,BEZ,"RSA - šifrování, dešifrování, generování klíčů, podpis, ověření. ",,
Černý Viktor,LS 2015,ISM,Ne,BEZ,"Síťová bezpečnost (šifrování, certifikáty). Digitální podpis (co to je, jak se tvoří), certifikát (jak se tvoří, co obsahuje), certifikační autorita (co to je, jak se zajišťuje její důvěryhodnost), bezpečná výměna klíčů (princip, případné možné řešení). ",,
Lorenz Robert,LS 2015,IT,Ne,BEZ,"Teorie informace (entropie, vzdálenost jednoznačnosti) ",,
Buček Jiří,LS 2015,SI,Ne,BEZ,"RSA, generovani klice, sifrovani, desifrovani, dukaz, ze desifrovani funguje, podpis ",,
Trdlička Jan,LS 2015,SI,Ne,BEZ,Symetrické a asymetrické šifry Jejich použítí (SecureShell) ,,
Dostál Jiří,LS 2019,WSI-PG,Ne,BEZ,"RSA - princip, na čem je založená, jak funguje šifrování a dešifrování, digitální podpis a RSA, navíc se doptal na certifikáty a certifikační autority, co musí být minimálně obsažené v certifikátu",,
Smítka,LS 2020,WSI-SI,Ne,BEZ,"Digitální podpis, jak se vytváří, co k němu potřebuji. Jak bych navázal komunikaci se státní správou (nebo nějak tak)",,
Dostál,LS 2020,ZI,Ne,BEZ,"Symetrické šifry blokové a proudové (AES, 3DES, RC4) základní parametry, operační módy blokových šifer (ECB, CBC, CFB, OFB, CTR, MAC), jejich základní popis a slabiny. Zameranie: operačné módy blokových šifier",,
Dostál Jiří,LS 2017,,Ne,BEZ,"Asymetrické kryptosystémy: RSA, Diffie-Hellman, aplikace v praxi.",,
Dostál Jiří,LS 2019,,Ne,BEZ,"Symetrické kryptosystémy: DES, 3DES, operační módy",,
Petr Ivo,LS 2017,,Ne,BEZ,"Asymetrické a symetrické šifrování, popsat výhody a nevýhody asymetrických šifer, RSA a RSA digitální podpis.",,
Trdlička Jan,LS 2017,,Ne,BEZ,Veřejné klíče a jejich distribuce.,,
Martin Jureček,LS 2022,SI,Ne,BEZ ,"Symetrické šifry blokové a proudové (AES, 3DES, RC4) základní parametry, operační módy blokových šifer (ECB, CBC, CFB, OFB, CTR, MAC), jejich základní popis a slabiny. Zaměření na operační módy.",,
Borkovcová Monika,LS 2021,WI,Ano,BIG,"NoSQL databáze, CAP teorém. Dělení NoSQL databází a jejich vztah k CAP teorému",,
Valenta,LS 2020,WSI-WI,Ano,BIG,CAP teorém a jeho vztah k NoSQL databázím,,
Kubalík Pavel,LS 2015,ISM,Ne,CAO,"logická hradla v technologii CMOS - základní logické prvky, složitější funkce v CMOS, výhody a nevýhody technologie ",,
Novotný Martin,LS 2015,PI,Ano,CAO,"CMOS invertor, NAND a NOR ",,
Růžička Jakub,LS 2015,SI,Ne,CAO,"MOSFET tranzistory a CMOS hradla (invertor, NAND, NOR) ",,
Trdlička Jan,LS 2015,SI,Ne,CAO,Rezonanční obvody ,,
Kubalík Pavel,LS 2015,WM,Ne,CAO,"logická hradla v technologii CMOS - základní logické prvky, … (nepamatuju se, ale nic moc neočekávanýho) …, výhody a nevýhody ",,
Valenta Michal,ZS 2019,BIT,Ne,DBS,"Transakce a jejich vlastnosti - ACID.  Definujte transakci, ukažte jednotlivé vlastnosti na příkladu.       ",,
Žďárek Jan,LS 2015,I,Ne,DBS,Transakce v databázových serverech a jejich vlastnosti. ,,
Valenta Michal,ZS 2019,ISM,Ano,DBS,Převod konceptuálního schématu na relační,,
,LS 2020,ISM,Ano,DBS,"Normalni formy, ale zajimala ho reseni: Necht relace je {A,B,C}, mnozina zavislosti je {}. Co bysme meli zvolit za klic relace? ",,
Pavlíček Josef,LS 2016,SI,Ano,DBS,Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační. ,,
Pavlíček Josef,LS 2016,SI,Ne,DBS,Otázka byla složena asi ze 2 až 3 okruhů celkem na relační algebru a SQL. ,,
Valenta Michal,LS 2016,SI,Ne,DBS,ACID a transakce ,,
Valenta Michal,LS 2019,SI,Ano,DBS,"Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační. Zaměřte se na silné entity, slabé entity, ISA.",,
Valenta Michal,ZS 2016,SI,Ne,DBS,"Transakce a transakční zpracování - co je to transakce, ACID, příklad transakce.",,
Valenta Michal,LS 2022,SI,Ano,DBS,"Normalizace relačních DB, normální formy - definujte Funkční závislost, Klíč relace pomocí FZ, normální formy (1NF, 2NF, 3NF, BCNF) a uveďte příklady",,
Valenta Michal,LS 2022,SI,ANO,DBS,"Převod ER modelu na relační, zaměřte se na slabé a silné entity a na ISA",,
Valenta Michal,LS 2022,SI,Ano,DBS,"Pokročilé SQL - Agregace (vymyslet příklad s GROUP BY a HAVING), vnější spojení, vnořené dotazy, všeobecný kvantiikátor",,
Michal Valenta,ZS 2020,SI,Ano,DBS,Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační.,,
Hunka,LS 2021,TI,Ne,DBS,Transakce a jejich vlastnosti - ACID,,
Borkovcová,LS 2022,WI,Ano,DBS,"Pokročilé principy dotazování v SQL: agregace, vnější spojení, vnořené dotazy, všeobecná kvantifikace. - Zaměření na agregace",,
Daněček Jiří,LS 2022,WSI,Ano,DBS,Transformace konceptuálního schématu na relační.,,
Valenta Michal,ZS 2019,WSI,Ano,DBS,"Normalizace relačního schématu a normální formy (první, druhá, třetí, BCNF). Zaměřte se na funkční závislost, jak s ní pracovat, jak pomocí ní definovat klíč.",,
Valenta,LS 2020,WSI-SI,Ano,DBS,"Normalizace relačního schématu a normální formy (první, druhá, třetí, BCNF).",,
Valenta Michal,LS 2019,WSI-SI,Ano,DBS,"Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační. Zaměřte se na převod různých pracialit a kardinalit, demonstrujte na různých příkladech.",,
Valenta Michal,LS 2019,WSI-SI,Ano,DBS,"Agregační funkce, JOIN.",,
Borkovcová,LS 2021,WSI-WI,Ano,DBS,"Normalizace relačního schématu a normální formy (první, druhá, třetí, BCNF).",,
Valenta,LS 2020,WSI-WI,Ano,DBS,"Normalizace relačního schématu a normální formy (první, druhá, třetí, BCNF).",,
Filip Glazar,LS 2022,ZI,Ne,DBS,"Relační databáze, dotazování v relační algebře, základní koncepce jazyka SQL (SELECT, DDL, DML, DCL, TCL) , vyjádření integritních omezení v DDL. Zaměřte se na DML. Popište strukturu příkazu SELECT s příklady.",,
Kokeš,LS 2021,ZI,Ne,DBS,"3 úrovně pohledu na data (konceptuální, implementační, fyzická)",,
Valenta Michal,LS 2017,,Ne,DBS,"3 úrovně pohledu na data (konceptuální, implementační, fyzická). Struktury pro ukládání dat v relačních databázích s ohledem na rychlý přístup k nim (speciální způsoby uložení, indexy apod.). ",,
Chludil Jiří,LS 2016,SI,Ano,EFA,"Vyhledávací stromy (vyvažované vyhledávací stromy) a jejich struktura, metody vyvažování ",,
Chludil Jiří,LS 2018,SI,Ano,EFA,Stromy a haldy (binomiální haldy) - operace a složitosti,,
Chludil Jiří,ZS 2016,SI,Ano,EFA,"Řadící algoritmy se složitostí O(n*log n) - vlastnosti (stabilita, dat. citlivost,…)",,
Kačer Martin,LS 2015,SI,Ano,EFA,ADT množina a její implementace ,,
Kačer Martin,LS 2015,SI,Ano,EFA,Haldy a ich využitie ,,
Švéda Miroslav,LS 2015,SI,Ano,EFA,Dynamické programování - obecná charakteristika a vysvětlení na příkaldu. ,,
Tvrdík Pavel,LS 2015,SI,Ano,EFA,"Taxonómia algoritmov radenia, vlastnosti, určovanie zložitosti týchto algoritmov. Optimálne algoritmy. Algoritmy v lineárnom čase. ",,
Tvrdík Pavel,LS 2015,SI,Ano,EFA,Vyhledávání a vyhledávací stromy. ,,
Tvrdík Pavel,LS 2016,SI,Ano,EFA,"Haldy: binární haldy, prioritní fronty, binomiální haldy. Operace, pouziti, slozitosti.",,
Tvrdík Pavel,LS 2016,SI,Ano,EFA,"Řadící algoritmy, taxonomie, složitost. Optimální řadící algoritmy, jaké jsou a proč. Uvést aspoň 2 příklady. ",,
Tvrdík Pavel,LS 2016,SI,Ano,EFA,"Haldy, binomialni haldy, prioritni fronty ",,
Valenta Michal,LS 2015,SI,Ano,EFA,"ADT a jeho implementace (zásobník, tabulka, množina) ",,
Valenta Michal,LS 2015,SI,Ano,EFA,"taxonomie radici algoritmu, ake poznam, ake su idealne radiace algoritmi a radenie v linearnom case ",,
Valla Tomáš,LS 2015,SI,Ano,EFA,"Vyberte dva efektívne zoraďovacie algoritmy, ktoré je možné porovnať, ukážte ich správnosť a dokážte ich zložitosť. Aká je dolná hranica problému zoraďovania n prvkov, ktoré je možné porovnávať? Svoje tvrdenie dokážte. ",,
Kačer Martin,ZS 2015,TI,Ano,EFA,Dynamické programování a příklad použití ,,
Kačer Martin,ZS 2015,TI,Ano,EFA,"Stromy, Haldy, prioritní fronty, binomiální a fibonacciho halda ",,
Kordík Pavel,LS 2016,TI,Ano,EFA,Dynamicke programovani ,,
Suchý Ondřej,LS 2015,TI,Ano,EFA,"Vyhledávání a vyhledávací stromy: definujte bVs, vyvažovací stromy, operace, kdy se používaj a co je to rotace. ",,
Suchý Ondřej,LS 2015,TI,Ano,EFA,"B-stromy, definice, strategie vkládání top-down, složitost. ",,
Šimeček Ivan,LS 2015,TI,Ano,EFA,"Binární vyhledávací stromy, vyvažované vyhledávací stromy a jejich operace ",,
Janoušek Jan,LS 2017,,Ano,EFA,Dynamické programování ,,
Tvrdík Pavel,LS 2017,,Ano,EFA,"Taxonomie, vlastnosti a analýza složitosti algoritmů pro řazení. Optimální algoritmy řazení. ",,
Valla Tomáš,LS 2017,,Ano,EFA,"Dynamické programování, nastínění algoritmu pro řešení editační vzdálenosti řetězců a optimálního uzávrokování matic, další příklady využití tohoto principu. ",,
Buchtela,LS 2020,ISM,Ano,EMP,"Životní cyklus podniku. Proces založení a vzniku podniku. Právní formy podnikání, právní odpovědnost podnikatele.",,
Buchtela,LS 2020,ISM,Ano,EMP,"Majetková a kapitálová struktura podniku, bilanční pravidla, porušování těchto pravidel z hlediska pozice firmy na trhu",,
Buchtela,LS 2021,ISM,Ano,EMP,"8 - Klasifikace a kalkulace přímých a nepřímých nákladů v podniku. Nákladová funkce, bod zvratu a Maximalizace zisku.",,
Buchtela,LS 2021,ISM,Ano,EMP,Struktura kapitálu/majetku v spolocnosti,,
David Buchtela,LS 2020,ISM,Ano,EMP,Kapitálová a majetková struktura. Bilanční pravidla. Jak se tyto pravidla porušují?,,
Vozárová,LS 2021,ISM,Ano,EMP,"Jak můžeme hodnotit investice a jak se to počítá? Napsat nějakou formule (specifikované, nenapsal jsem).",,
Buchtela David,LS 2015,ISM,Ano,FIP,"Zúčtování se zaměstnanci, konstrukce mzdy z pohledu zaměstnavatele ",,
Buchtela David,LS 2015,ISM,Ano,FIP,"Majetková a kapitálová struktura podniku, účtování, bilanční pravidla. ",,
Buchtela David,LS 2015,ISM,Ano,FIP,Fiskální zdroje státu. Přímé a nepřímé daně. Princip a účtování daní v podniku. Vliv inflace a daní na finanční rozhodování. ,,
Buchtela David,LS 2015,ISM,Ano,FIP,Dlouhodobé řízení financí podniku ,,
Buchtela David,LS 2016,ISM,Ano,FIP,Krátkodobé financování podniku. Čistý pracovní kapitál. Dlouhodobé financování podniku. Hodnocení investic ,,
Buchtela David,LS 2016,ISM,Ano,FIP,Klasifikace a kalkulace přímých a nepřímých nákladů v podniku. Nákladová funkce a bod zvratu. Průměrné a mezní náklady. Strategie stanovení prodejní ceny produktu,,
Vozárová Pavla,LS 2016,ISM,Ano,FIP,Krátkodobé financování podniku. Čistý pracovní kapitál. Dlouhodobé financování podniku. Hodnocení investic ,,
Vozárová Pavla,LS 2016,ISM,Ano,FIP,Majetková a kapitálová struktura podniku a její zachycení v účetnictví. Co obsahuje rozvaha a co se z ní dá vyčíst (nebo tak něco) ,,
Vozárová Pavla,LS 2016,ISM,Ano,FIP,Majetková a kapitálová struktura podniku a její zachycení v účetnictví. Struktura CasfFlow plus něco dalšího ,,
Vozárová Pavla,ZS 2016,ISM,Ano,FIP,"Metody hodnocení dlouhodobé investice, ta různá kritéria a indexy..",,
Buchtela David,LS 2017,,Ano,FIP,"Kalkulace přímých a nepřímých nákladů, nákladová funkce, stanovení ceny výrobku.",,
Buchtela David,LS 2017,,Ano,FIP,"Životní cyklus podniku. Proces založení a vzniku podniku. Právní formy podnikání, právní odpovědnost podnikatele. ",,
Buchtela David,LS 2017,,Ano,FIP,Krátkodobé financování podniku. Čistý pracovní kapitál. Dlouhodobé financování podniku. Hodnocení investic. ,,
Vozárová Pavla,LS 2017,,Ano,FIP,"Klasifikace a kalkulace přímých a nepřímých nákladů v podniku. Nákladová funkce a bod zvratu. Strategie stanovení prodejní ceny produktu. (Zaměření na náklady (fixní/variabilní, přímé/nepřímé a nákladovou funkci). ",,
Kolář Josef,LS 2015,SI,Ano,GRA,"Grafové algoritmy a základy teorie složitosti : Základní pojmy teorie čísel, izomorfismus, průchod grafem (do šířky, do hloubky) ",,
Kolář Josef,LS 2015,SI,Ano,GRA,"Reprezentace grafu, prohledávání do šířky do hloubky. Silná souvislost, silná komponenta a její nalezení. ",,
Scholtzová Jiřina,LS 2016,SI,Ano,GRA,"Komponenty grafu, silna a slaba souvislost, algoritmy pro nalezeni silne komponenty a artikulace grafu ",,
Valla Tomáš,LS 2015,SI,Ano,GRA,"Definice stromu, napište tvrzení o vlastnostech stromů a dokažte je, definice kostry a minimální kostry grafu, algoritmy na určení minimální kostry, u vybraného algoritmu dokažte korektnost a odvoďte jeho složitost. Jaký je nejefektivnější algoritmus pro určení libovolné (ne nutně nejmenší) kostry grafu? ",,
Valla Tomáš,LS 2015,SI,Ano,GRA,Algoritmy pro hledání nejkratších cest v grafu. Dokažte správnost a odvoďte složitost algoritmů ,,
Valla Tomáš,ZS 2015,SI,Ne,GRA,"Definice stromu, napište tvrzení o vlastnostech stromů a dokažte je, definice kostry a minimální kostry grafu, algoritmy na určení minimální kostry, u vybraného algoritmu dokažte korektnost a odvoďte jeho složitost. Jaký je nejefektivnější algoritmus pro určení libovolné (ne nutně nejmenší) kostry grafu? ",,
Guth Ondřej,LS 2016,TI,Ano,GRA,"Reprezentace a procházení grafů (do šířky, do hloubky), isomorfismus grafů, souvislost a komponenty ",,
Scholtzová Jiřina,LS 2015,TI,Ano,GRA,"Definujte strom a kostru, algoritmy na hledání minimální kostry a jejich složitosti. ",,
